name,name_zh,name_json,source,layer,lat,lon
LITTLE INDIA MRT STATION (NE7),小印度地铁,"[""NE7"", ""Little India MRT""]",onemap,venue,1.30680019696174,103.849647059738
FARRER PARK MRT STATION,花拉公园地铁,"[""NE8"", ""Farrer Park MRT""]",onemap,venue,1.31314029963164,103.854754721344
BOON KENG MRT STATION (NE9),文庆地铁,"[""NE9"", ""Boon Keng MRT""]",onemap,venue,1.31933570922514,103.861569454156
POTONG PASIR MRT STATION (NE10),波东巴西地铁,"[""NE10"", ""Potong Pasir MRT""]",onemap,venue,1.33137949021368,103.869055656782
WOODLEIGH MRT STATION (NE11),兀里地铁,"[""NE11"", ""Woodleigh MRT""]",onemap,venue,1.33919004519388,103.87081830915
SERANGOON MRT STATION (CC13),实龙岗地铁,"[""NE12"", ""Serangoon MRT""]",onemap,venue,1.35063361526525,103.872771660431
KOVAN MRT STATION (NE13),高文地铁,"[""NE13"", ""Kovan MRT""]",onemap,venue,1.36017917065237,103.885064856353
HOUGANG MRT STATION (NE14),后港地铁,"[""NE14"", ""Hougang MRT""]",onemap,venue,1.37129226620797,103.892380513029
BUANGKOK MRT STATION (NE15),万国地铁,"[""NE15"", ""Buangkok MRT""]",onemap,venue,1.38287001971672,103.893122569706
SENGKANG MRT STATION (NE16),盛港地铁,"[""NE16"", ""Sengkang MRT""]",onemap,venue,1.39169462601522,103.895484694279
PUNGGOL COAST MRT STATION (NE18),榜鹅地铁,"[""NE17"", ""Punggol MRT""]",onemap,venue,1.41492733388605,103.910166388177
DHOBY GHAUT MRT STATION (NS24),多美歌地铁,"[""CC1"", ""Dhoby Ghaut MRT""]",onemap,venue,1.29870132536119,103.846113677951
BRAS BASAH MRT STATION (CC2),百胜地铁,"[""CC2"", ""Bras Basah MRT""]",onemap,venue,1.29686168649656,103.850667371637
ESPLANADE MRT STATION (CC3),滨海中心地铁,"[""CC3"", ""Esplanade MRT""]",onemap,venue,1.2936577245386,103.855081226245
PROMENADE MRT STATION (CC4),宝门廊地铁,"[""CC4"", ""Promenade MRT""]",onemap,venue,1.29399798636232,103.860350000188
NICOLL HIGHWAY MRT STATION (CC5),尼诰大道地铁,"[""CC5"", ""Nicoll Highway MRT""]",onemap,venue,1.29976684675139,103.86363696572
STADIUM MRT STATION (CC6),体育场地铁,"[""CC6"", ""Stadium MRT""]",onemap,venue,1.3028124684707,103.875337711089
MOUNTBATTEN MRT STATION (CC7),蒙巴登地铁,"[""CC7"", ""Mountbatten MRT""]",onemap,venue,1.30620190525331,103.882528081052
DAKOTA MRT STATION (CC8),达科达地铁,"[""CC8"", ""Dakota MRT""]",onemap,venue,1.30854798388121,103.889064718377
