name,name_json,source,layer,lat,lon
BUKIT BATOK SECONDARY SCHOOL,"[""BUKIT BATOK SECONDARY SCHOOL""]",onemap,venue,1.34849111079052,103.74087370482
BUKIT MERAH SECONDARY SCHOOL,"[""BUKIT MERAH SECONDARY SCHOOL""]",onemap,venue,1.28569283064288,103.813438929393
BUKIT PANJANG GOVT. HIGH SCHOOL,"[""BUKIT PANJANG GOVERNMENT HIGH SCHOOL""]",onemap,venue,1.38224243360043,103.738361221869
BUKIT PANJANG PRIMARY SCHOOL,"[""BUKIT PANJANG PRIMARY SCHOOL""]",onemap,venue,1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,"[""BUKIT TIMAH PRIMARY SCHOOL""]",onemap,venue,1.33751860013147,103.767243310781
BUKIT VIEW PRIMARY SCHOOL,"[""BUKIT VIEW PRIMARY SCHOOL""]",onemap,venue,1.34586054788695,103.75366641455
BUKIT VIEW SECONDARY SCHOOL,"[""BUKIT VIEW SECONDARY SCHOOL""]",onemap,venue,1.3457330554294,103.752226593984
CANBERRA PRIMARY SCHOOL,"[""CANBERRA PRIMARY SCHOOL""]",onemap,venue,1.45125024371543,103.815858858929
CANBERRA SECONDARY SCHOOL,"[""CANBERRA SECONDARY SCHOOL""]",onemap,venue,1.45319086315972,103.814203583818
CANOSSA CATHOLIC PRIMARY SCHOOL,"[""CANOSSA CATHOLIC PRIMARY SCHOOL""]",onemap,venue,1.32664424544839,103.882227964852
CANTONMENT PRIMARY SCHOOL,"[""CANTONMENT PRIMARY SCHOOL""]",onemap,venue,1.27547252623201,103.839962631748
CASUARINA PRIMARY SCHOOL,"[""CASUARINA PRIMARY SCHOOL""]",onemap,venue,1.37246063927999,103.957020286115
CATHOLIC HIGH SCHOOL,"[""CATHOLIC HIGH SCHOOL""]",onemap,venue,1.3547230747166,103.844874676599
CATHOLIC JUNIOR COLLEGE,"[""CATHOLIC JUNIOR COLLEGE""]",onemap,venue,1.32455605783219,103.835028842353
CEDAR GIRLS' SECONDARY SCHOOL,"[""CEDAR GIRLS' SECONDARY SCHOOL""]",onemap,venue,1.33375800216334,103.873933064886
CEDAR PRIMARY SCHOOL,"[""CEDAR PRIMARY SCHOOL""]",onemap,venue,1.3355885014312,103.87562104944
CHANGKAT CHANGI SECONDARY SCHOOL,"[""CHANGKAT CHANGI SECONDARY SCHOOL""]",onemap,venue,1.33950630072876,103.953245525564
CHANGKAT PRIMARY SCHOOL,"[""CHANGKAT PRIMARY SCHOOL""]",onemap,venue,1.34023163951633,103.952080114035
CHIJ (KATONG) PRIMARY,"[""CHIJ (KATONG) PRIMARY""]",onemap,venue,1.30648535277087,103.911105620496
CHIJ (KELLOCK),"[""CHIJ (KELLOCK)""]",onemap,venue,1.275022722964,103.828157564896
CHIJ KATONG CONVENT,"[""CHIJ KATONG CONVENT""]",onemap,venue,1.30644268034894,103.917144350028
