name,source,layer,lat,lon
DJITSUN MALL BEDOK,onemap,venue,1.32611970329469,103.929554495615
JUBILEE SQUARE,onemap,venue,1.37178558575829,103.847837565378
DBS JUNCTION NINE,onemap,venue,1.43306021695327,103.841649364872
MARSILING MALL HAWKER CENTRE,onemap,venue,1.43354318137534,103.77988189197
NORTHPOINT CITY,onemap,venue,1.42969848626288,103.835776491468
SEMBAWANG SHOPPING CENTRE,onemap,venue,1.44182470675733,103.824845207237
SUN PLAZA,onemap,venue,1.44819535371132,103.819502127155
VISTA POINT,onemap,venue,1.43089714603015,103.793927429476
WISTERIA MALL,onemap,venue,1.41795288501536,103.841268831617
WOODLANDS MART,onemap,venue,1.44562290720221,103.798140993891
WOODLANDS NORTH PLAZA,onemap,venue,1.44275333260237,103.790548015512
WATERWAY POINT,onemap,venue,1.40648462132006,103.902105680785
COMPASS ONE,onemap,venue,1.39205314156706,103.89507054384
HOUGANG MALL,onemap,venue,1.37249493810003,103.893775562605
HEARTLAND MALL-KOVAN,onemap,venue,1.35954177325561,103.885167372726
NEX,onemap,venue,1.35076935257845,103.872296143862
GREENWICH V,onemap,venue,1.38739539397015,103.869135978173
HOUGANG 1,onemap,venue,1.37571530699875,103.879472337592
HOUGANG GREEN SHOPPING MALL,onemap,venue,1.3792452907016,103.887832017102
MYVILLAGE AT SERANGOON GARDEN,onemap,venue,1.36511490572797,103.865159501442
OASIS TERRACES,onemap,venue,1.40278015725693,103.913215101343
PUNGGOL PLAZA,onemap,venue,1.39423719717117,103.913047323223
RIVERVALE MALL,onemap,venue,1.39219777838449,103.904471600025
RIVERVALE PLAZA,onemap,venue,1.38533736107771,103.901841044122
THE SELETAR MALL,onemap,venue,1.39147015374628,103.876125507257
BUANGKOK SQUARE,onemap,venue,1.38433426615655,103.881623070164
MIDTOWN BAY,onemap,venue,1.29635666439809,103.85736876917
UPPER SERANGOON SHOPPING CENTRE,onemap,venue,1.35348082277147,103.878828134896
BEAUTY WORLD CENTRE,onemap,venue,1.34241264188642,103.776539385406
BEAUTY WORLD PLAZA,onemap,venue,1.34180018619223,103.776259359854
BUKIT PANJANG PLAZA,onemap,venue,1.37992045176243,103.764357180314
BUKIT TIMAH PLAZA,onemap,venue,1.33875930729064,103.778600077834
FAJAR SHOPPING CENTRE,onemap,venue,1.38358032362676,103.770768501474
GREENRIDGE SHOPPING CENTRE,onemap,venue,1.38540569283271,103.766228468185
HILLION MALL,onemap,venue,1.37843100827586,103.762842789877
HILLV2,onemap,venue,1.36267450828024,103.76417292006
JUNCTION 10,onemap,venue,1.38033681049385,103.760167883439
KEAT HONG SHOPPING CENTRE,onemap,venue,1.37736607441394,103.744393648768
LIMBANG SHOPPING CENTRE,onemap,venue,1.39164865474084,103.743387228295
"LOT ONE, SHOPPERS' MALL",onemap,venue,1.38497459672379,103.745011766388
THE RAIL MALL,onemap,venue,1.35976061966283,103.767585300058
SUNSHINE PLACE,onemap,venue,1.37789727599928,103.739015486021
TECK WHYE SHOPPING CENTRE,onemap,venue,1.38004752975397,103.752483841199
WEST MALL,onemap,venue,1.35001920979845,103.749244800677
UOB YEW TEE POINT,onemap,venue,1.39705741516141,103.746662121143
YEW TEE SQUARE,onemap,venue,1.39804736153015,103.747084778932
VIVOCITY,onemap,venue,1.26429316783973,103.82230469365
HARBOURFRONT CENTRE,onemap,venue,1.26396991176004,103.820243325181
ALEXANDRA RETAIL CENTRE (ARC),onemap,venue,1.27414893629254,103.801399416665
321 CLEMENTI,onemap,venue,1.31200212030821,103.764986676365
THE CLEMENTI MALL,onemap,venue,1.31489619639366,103.764423054189
IMM BUILDING,onemap,venue,1.3350228681678,103.746801051271
JCUBE,onemap,venue,1.33332312550425,103.740187071348
JEM,onemap,venue,1.33329334473462,103.743278742341
WESTGATE,onemap,venue,1.33415767556867,103.742766484424
JURONG POINT,onemap,venue,1.33945271661445,103.70668501289
PIONEER MALL,onemap,venue,1.34169239214292,103.697174842118
THE STAR VISTA,onemap,venue,1.30697044038323,103.788420274115
ALEXANDRA CENTRAL,onemap,venue,1.28745612377699,103.805414652014
ANCHORPOINT SHOPPING CENTRE,onemap,venue,1.28893477974497,103.805607779399
BOON LAY SHOPPING CENTRE,onemap,venue,1.34633552457315,103.712430373455
GRANTRAL MALL @ CLEMENTI,onemap,venue,1.31427043922294,103.765147487482
FAIRPRICE HUB,onemap,venue,1.32561767765205,103.678409741897
GEK POH SHOPPING CENTRE,onemap,venue,1.34874357136408,103.697732091001
ROCHESTER MALL,onemap,venue,1.30540765569962,103.788446680148
TAMAN JURONG SHOPPING CENTRE,onemap,venue,1.33484487416514,103.720462024278
WEST COAST PLAZA,onemap,venue,1.30369748971099,103.766131294678
QUEENSWAY SHOPPING CENTRE,onemap,venue,1.2876179255874,103.803391140455
